"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium--__",0.814644892238888,0.542608095750538,0.835158173237447,0.551716405865342,0.948775914096762,0.663026878237941,0.904129916278299,0.563991477765849
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae",0.517744850821231,0.542608095750538,0.552267014527972,0.642636984963598,0.812328052741876,0.69312206661443,0.837768464465457,0.69210451681724
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella--__",0.279404543441816,0.0576764245089636,0.242271712762062,0.0453645112452467,0.32856795908648,0.0663020054513566,0.27901238317523,0.147172579337491
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group",0.993059764925697,0.736047223709346,0.981952969638908,0.777927100784802,0.948775914096762,0.95297884739007,0.974817410519871,0.871803055189465
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group--__",0.993059764925697,0.736047223709346,0.981952969638908,0.777927100784802,0.948775914096762,0.95297884739007,0.974817410519871,0.871803055189465
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales",0.708218041286864,0.0634424310454139,0.637162947746461,0.0812384458312375,0.927489762121745,0.19592695135901,0.942134803241546,0.326880985282161
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae",0.708218041286864,0.0634424310454139,0.637162947746461,0.0812384458312375,0.927489762121745,0.19592695135901,0.942134803241546,0.326880985282161
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Megasphaera--s__uncultured_organism",0.913394274811023,0.735016063280862,0.969007959568826,0.778827597714816,0.948775914096762,0.96486462233529,0.942134803241546,0.958318744689662
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides--__",0.690836932612639,0.753292133584511,0.637162947746461,0.698921851691547,0.948775914096762,0.870055866463553,0.967645755779073,0.898417001000881
"d__Bacteria--p__Verrucomicrobia",0.993059764925697,0.929999100767652,0.94312865289619,0.778827597714816,0.948775914096762,0.888950382791546,0.967645755779073,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae",0.993059764925697,0.929999100767652,0.94312865289619,0.778827597714816,0.948775914096762,0.888950382791546,0.967645755779073,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales",0.993059764925697,0.929999100767652,0.94312865289619,0.778827597714816,0.948775914096762,0.888950382791546,0.967645755779073,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales--f__Akkermansiaceae",0.993059764925697,0.929999100767652,0.94312865289619,0.778827597714816,0.948775914096762,0.888950382791546,0.967645755779073,0.898417001000881
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales--f__Akkermansiaceae--g__Akkermansia",0.993059764925697,0.929999100767652,0.94312865289619,0.778827597714816,0.948775914096762,0.888950382791546,0.967645755779073,0.898417001000881
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae",0.859973054413071,0.773984728843072,0.916503932531156,0.656529386387359,0.948775914096762,0.784475665170311,0.974817410519871,0.617526472978343
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium",0.859973054413071,0.549850022923713,0.728491274813583,0.444315104560994,0.948775914096762,0.663026878237941,0.903272733944685,0.609038399641487
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes",0.917245860079151,0.718829168449069,0.971593788948506,0.49536688124211,0.948775914096762,0.69312206661443,0.974817410519871,0.550519353941175
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Rikenellaceae--g__Alistipes--__",0.917245860079151,0.719903035081144,0.971593788948506,0.498089906712977,0.948775914096762,0.706277737304908,0.974817410519871,0.556082752184191
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales",0.984265940042684,0.283670942763047,0.916503932531156,0.283308048069393,0.982120528283542,0.444431473756201,0.939487034427858,0.550519353941175
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__",0.535344875328618,0.608373815714285,0.552267014527972,0.659715786546459,0.927489762121745,0.745072747796388,0.922467638230702,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__--__",0.535344875328618,0.608373815714285,0.552267014527972,0.659715786546459,0.927489762121745,0.745072747796388,0.922467638230702,0.739985227664105
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus",0.789956766372317,0.0576764245089636,0.692804565910114,0.0453645112452467,0.927489762121745,0.114513981036325,0.942134803241546,0.232202978617619
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus--__",0.789956766372317,0.0576764245089636,0.692804565910114,0.0453645112452467,0.927489762121745,0.114513981036325,0.942134803241546,0.232202978617619
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae",0.942180384632749,0.283670942763047,0.914145098599753,0.283308048069393,0.982120528283542,0.480345443726765,0.942134803241546,0.558452359140167
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__",0.942180384632749,0.267995841253526,0.914145098599753,0.283308048069393,0.982120528283542,0.435280454436762,0.942134803241546,0.513667533556779
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Xanthomonadales--f__Rhodanobacteraceae--__--__",0.942180384632749,0.267995841253526,0.914145098599753,0.283308048069393,0.982120528283542,0.435280454436762,0.942134803241546,0.513667533556779
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__",0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__",0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__",0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__--__",0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium",0.814644892238888,0.585020471994395,0.618346440591903,0.456552736098608,0.80475579142179,0.54795503055437,0.8325899324942,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium--__",0.814644892238888,0.585020471994395,0.618346440591903,0.456552736098608,0.80475579142179,0.54795503055437,0.8325899324942,0.519937898354433
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria",0.917245860079151,0.726826979356503,0.94312865289619,0.656529386387359,0.982120528283542,0.678745012918447,0.974817410519871,0.708917507976939
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1",0.517744850821231,0.342025506977757,0.524109770601007,0.341373242045325,0.948775914096762,0.663026878237941,0.837768464465457,0.516422095569756
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--g__Clostridium_sensu_stricto_1--__",0.517744850821231,0.342025506977757,0.524109770601007,0.341373242045325,0.948775914096762,0.663026878237941,0.837768464465457,0.516422095569756
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales",0.921405310748654,0.718829168449069,0.948574476450967,0.656387486420543,0.982521578450379,0.678745012918447,0.974817410519871,0.69210451681724
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales--f__Desulfovibrionaceae",0.921405310748654,0.718829168449069,0.948574476450967,0.656387486420543,0.982521578450379,0.678745012918447,0.974817410519871,0.69210451681724
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales",0.558868494282354,0.90367843858994,0.514548704953512,0.821339321731877,0.654128269696311,0.965982511566447,0.837768464465457,0.877879091730846
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae",0.558868494282354,0.90367843858994,0.514548704953512,0.821339321731877,0.654128269696311,0.965982511566447,0.837768464465457,0.877879091730846
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae--g__Bifidobacterium",0.558868494282354,0.90367843858994,0.514548704953512,0.821339321731877,0.654128269696311,0.965982511566447,0.837768464465457,0.877879091730846
"d__Bacteria--p__Actinobacteria--c__Actinobacteria--o__Bifidobacteriales--f__Bifidobacteriaceae--g__Bifidobacterium--__",0.58679056583653,0.90367843858994,0.524634760798373,0.8301728691445,0.654128269696311,0.983725251039984,0.837768464465457,0.883480634351324
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae",0.517744850821231,0.384836078045007,0.524109770601007,0.409597173807145,0.927489762121745,0.663026878237941,0.8325899324942,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae--g__Enterococcus",0.517744850821231,0.384836078045007,0.514548704953512,0.409597173807145,0.900357450465496,0.663026878237941,0.8325899324942,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Enterococcaceae--g__Enterococcus--__",0.517744850821231,0.384836078045007,0.514548704953512,0.409597173807145,0.900357450465496,0.663026878237941,0.8325899324942,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium--s__Ruminococcus_sp._N15.MGS-57",0.903703808335603,0.899270206591988,0.874594955524981,0.92501448479957,0.948775914096762,0.880606201213199,0.942134803241546,0.877879091730846
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__",0.878882403567745,0.728917019895741,0.692804565910114,0.583925429640771,0.927489762121745,0.678099873255131,0.917647270504774,0.708917507976939
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Clostridiaceae_1--__--__",0.878882403567745,0.728917019895741,0.692804565910114,0.583925429640771,0.927489762121745,0.678099873255131,0.917647270504774,0.708917507976939
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Eubacterium_hallii_group",0.85926263294913,0.292944298837552,0.59521802108456,0.156187748844959,0.948775914096762,0.408438367278416,0.942134803241546,0.516422095569756
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Eubacterium_hallii_group--__",0.85926263294913,0.292944298837552,0.59521802108456,0.156187748844959,0.948775914096762,0.408438367278416,0.942134803241546,0.516422095569756
